ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.005967,0.133703,0.133836,10.030814
-0.005868,0.132976,0.133105,10.021148
-0.003481,0.130509,0.130555,10.017593
-0.000601,0.134550,0.134551,10.007241
-0.003554,0.140207,0.140252,9.984385
-0.004757,0.142638,0.142717,9.954462
-0.008176,0.146118,0.146347,9.965428
-0.014131,0.147950,0.148623,9.930586
-0.012790,0.151006,0.151547,9.952527
-0.010138,0.153589,0.153923,9.968248
-0.010858,0.152230,0.152616,9.988814
-0.012540,0.147478,0.148010,9.972008
-0.013695,0.143411,0.144063,10.036208
-0.015388,0.137461,0.138320,10.059273
-0.011695,0.130211,0.130736,10.082996
-0.004864,0.122209,0.122306,10.100892
-0.002676,0.116367,0.116398,10.090664
-0.004922,0.116424,0.116528,10.068604
-0.001759,0.115910,0.115923,10.083575
-0.005864,0.113816,0.113967,10.057478
-0.003806,0.117326,0.117388,10.059215
-0.000222,0.120080,0.120080,10.024276
-0.000357,0.126947,0.126947,10.023376
-0.001916,0.125706,0.125721,9.996493
-0.005207,0.133655,0.133756,10.010343
-0.008370,0.136302,0.136559,10.019499
-0.004867,0.133883,0.133971,10.030981
-0.000198,0.130001,0.130001,10.039214
-0.000675,0.134103,0.134105,10.000637
-0.005540,0.137780,0.137891,9.967734
-0.005830,0.142476,0.142595,9.971761
-0.011388,0.146985,0.147425,9.952423
-0.011484,0.152053,0.152486,9.932727
-0.008181,0.154317,0.154533,9.949752
-0.009908,0.155145,0.155461,9.978044
-0.011711,0.151026,0.151479,9.973948
-0.016528,0.149100,0.150013,9.994248
-0.019271,0.145175,0.146449,10.000871
-0.016921,0.140345,0.141362,10.066298
-0.010133,0.129866,0.130260,10.095320
-0.005564,0.126001,0.126124,10.109414
-0.004050,0.114084,0.114156,10.099992
-0.005503,0.113013,0.113147,10.087497
-0.004719,0.114838,0.114935,10.071568
-0.004830,0.116381,0.116481,10.061049
-0.001332,0.120834,0.120841,10.064881
0.000296,0.125811,0.125811,10.043325
0.000779,0.123257,0.123260,10.014778
-0.003750,0.127554,0.127609,10.029450
-0.006649,0.131756,0.131923,10.009768
-0.007433,0.132060,0.132269,10.019215
-0.002913,0.132487,0.132519,10.043977
0.001509,0.134664,0.134672,10.032150
-0.001569,0.131285,0.131294,10.000422
-0.003499,0.134656,0.134702,9.986357
-0.008157,0.143315,0.143547,9.966028
-0.010084,0.147010,0.147356,9.952720
-0.007609,0.151124,0.151315,9.957119
-0.005704,0.153659,0.153764,9.956717
-0.011436,0.152806,0.153233,9.962089
-0.015442,0.151681,0.152465,9.989803
-0.016820,0.149028,0.149974,10.002703
-0.016593,0.141339,0.142309,10.002174
-0.012853,0.140916,0.141501,10.065969
-0.007509,0.137127,0.137333,10.103676
-0.007726,0.123579,0.123820,10.093910
-0.004092,0.115331,0.115404,10.103120
-0.005396,0.114236,0.114364,10.090779
-0.004803,0.116992,0.117091,10.062516
-0.001845,0.118704,0.118718,10.070818
0.000486,0.121759,0.121760,10.064468
-0.001785,0.122099,0.122112,10.047542
-0.002339,0.123899,0.123921,10.026751
-0.004649,0.131234,0.131316,10.052751
-0.007931,0.133621,0.133856,10.019064
-0.003443,0.134201,0.134246,10.045261
0.000143,0.130012,0.130012,10.067156
-0.001060,0.122749,0.122754,10.027966
-0.002388,0.124219,0.124242,10.013557
-0.003562,0.131469,0.131517,9.993190
-0.008954,0.140399,0.140685,9.961720
-0.006957,0.146177,0.146343,9.973503
-0.004570,0.150548,0.150617,9.954925
-0.006710,0.152897,0.153045,9.951758
-0.011806,0.153921,0.154373,9.963995
-0.015406,0.153156,0.153929,9.986989
-0.019074,0.150691,0.151893,9.980541
-0.013333,0.148534,0.149131,10.010521
-0.010608,0.141599,0.141995,10.047003
-0.009410,0.137504,0.137826,10.092225
-0.008048,0.128959,0.129210,10.087737
-0.009858,0.122245,0.122642,10.121244
-0.009884,0.118688,0.119099,10.097075
-0.006841,0.114545,0.114749,10.079556
-0.003158,0.119661,0.119702,10.077654
-0.003010,0.117030,0.117069,10.071137
-0.001063,0.120160,0.120165,10.052367
-0.004201,0.123252,0.123323,10.064656
-0.006210,0.122517,0.122675,10.037045
-0.006302,0.127957,0.128112,10.032886
-0.001588,0.126194,0.126204,10.060798
-0.002333,0.127113,0.127134,10.070097
-0.002151,0.126933,0.126951,10.023264
-0.004024,0.129928,0.129991,10.020957
-0.005558,0.135945,0.136059,9.980832
-0.006836,0.144413,0.144575,9.961963
-0.005832,0.142466,0.142585,9.969829
-0.005320,0.149287,0.149382,9.956061
-0.005814,0.149140,0.149253,9.949823
-0.015276,0.153173,0.153933,9.976551
-0.019373,0.152247,0.153474,9.976840
-0.016613,0.149848,0.150766,9.985777
-0.015264,0.150223,0.150996,9.992024
-0.010109,0.148546,0.148890,10.043107
-0.011982,0.139330,0.139844,10.090058
-0.008057,0.125028,0.125288,10.102836
-0.007967,0.119616,0.119881,10.106523
-0.008381,0.113299,0.113609,10.087170
-0.003774,0.113463,0.113525,10.085481
-0.000592,0.117563,0.117564,10.079195
-0.002670,0.116114,0.116145,10.073551
-0.001144,0.117526,0.117532,10.060534
-0.003229,0.122053,0.122096,10.036046
-0.003415,0.125387,0.125434,10.017841
-0.003681,0.125972,0.126026,10.029390
-0.000019,0.131988,0.131988,10.017657
-0.001084,0.128808,0.128813,10.026273
-0.001577,0.127937,0.127947,10.029892
-0.004920,0.133055,0.133146,10.022547
-0.005717,0.132107,0.132231,9.989378
-0.002487,0.137112,0.137135,9.977618
0.000105,0.146368,0.146368,9.965487
-0.007473,0.149724,0.149911,9.933281
-0.010099,0.156120,0.156447,9.946236
-0.017057,0.155710,0.156642,9.970378
-0.018610,0.151288,0.152428,9.976384
-0.012141,0.148296,0.148793,9.997819
-0.011450,0.147626,0.148069,10.001785
-0.011492,0.142289,0.142753,10.040495
-0.012202,0.135861,0.136408,10.086872
-0.011506,0.128836,0.129349,10.097690
-0.010446,0.123073,0.123516,10.090170
-0.005690,0.114089,0.114231,10.107170
-0.003215,0.112738,0.112783,10.086919
-0.000789,0.113345,0.113348,10.065580
-0.004166,0.121235,0.121307,10.056151
-0.000693,0.122999,0.123001,10.050770
-0.006336,0.124148,0.124310,10.018889
-0.002322,0.124619,0.124641,10.033683
-0.001962,0.127702,0.127717,10.015778
-0.002480,0.131126,0.131149,10.034182
0.000696,0.127261,0.127263,10.024730
-0.002502,0.129681,0.129705,10.056566
-0.004186,0.126114,0.126183,10.001756
-0.000995,0.128174,0.128178,10.002840
0.002132,0.134631,0.134648,9.959383
-0.003093,0.141261,0.141295,9.956710
-0.006415,0.147616,0.147755,9.935913
-0.011886,0.153455,0.153915,9.945578
-0.018522,0.154674,0.155779,9.936840
-0.015731,0.151392,0.152207,9.969913
-0.010018,0.152353,0.152682,9.968764
-0.012662,0.152381,0.152906,9.976529
-0.010679,0.146661,0.147049,10.021658
-0.015594,0.140083,0.140949,10.091660
-0.012857,0.126259,0.126912,10.075421
-0.009605,0.119823,0.120207,10.103559
-0.005058,0.110318,0.110434,10.085403
-0.003973,0.115355,0.115423,10.082420
-0.002229,0.114100,0.114122,10.060764
-0.003927,0.115101,0.115168,10.080253
-0.003626,0.116541,0.116597,10.045695
-0.003735,0.120705,0.120763,10.014234
0.001255,0.128360,0.128366,10.026565
-0.001914,0.136678,0.136691,10.007292
-0.004653,0.136632,0.136712,10.012719
-0.007480,0.135097,0.135304,10.050330
-0.005945,0.131411,0.131545,10.042995
-0.003450,0.128054,0.128100,10.019380
