dbg_omega_pll_rad_s,dbg_iq_a,dbg_iq_cmd_a,iq_sweep.active
95.041122,0.229302,0.252102,0.000000
96.977966,0.165373,0.265110,0.000000
95.257050,0.153086,0.265110,0.000000
95.008698,0.165871,0.282143,0.000000
100.634888,0.201323,0.282143,0.000000
102.453316,0.484338,0.205434,0.000000
100.893654,0.176688,0.205434,0.000000
104.037186,0.214492,0.208984,0.000000
105.568481,0.377629,0.208984,0.000000
100.937851,0.151532,0.184384,0.000000
97.575470,0.134236,0.184384,0.000000
98.729034,0.246025,0.246156,0.000000
96.225243,0.329966,0.246156,0.000000
90.466179,-0.011900,0.287535,0.000000
90.627960,0.198033,0.287535,0.000000
91.651581,0.542849,0.309383,0.000000
87.373749,0.181428,0.309383,0.000000
87.557419,0.322756,0.360594,0.000000
91.908081,0.351083,0.360594,0.000000
93.753769,0.272811,0.293085,0.000000
93.712143,0.204257,0.293085,0.000000
98.170959,0.341724,0.271554,0.000000
104.051193,0.357508,0.271554,0.000000
102.826950,0.003845,0.183587,0.000000
102.085846,0.439870,0.183587,0.000000
107.137108,0.078291,0.183933,0.000000
106.140587,0.298106,0.183933,0.000000
102.954086,0.126008,0.183798,0.000000
105.502167,0.192974,0.183798,0.000000
105.996994,0.018768,0.161463,0.000000
104.355316,0.142965,0.161463,0.000000
102.362976,0.094381,0.193515,0.000000
103.927330,0.127919,0.193515,0.000000
102.685867,0.069872,0.183687,0.000000
98.958450,0.144322,0.183687,0.000000
101.763885,0.196966,0.234653,0.000000
104.440842,0.291494,0.234653,0.000000
101.853706,0.172073,0.190146,0.000000
101.910622,0.223755,0.190146,0.000000
103.781082,0.211462,0.195677,0.000000
100.705208,0.076929,0.195677,0.000000
96.961998,0.083250,0.236628,0.000000
97.792984,0.305237,0.236628,0.000000
97.891174,0.140082,0.243463,0.000000
92.467178,0.182080,0.243463,0.000000
90.607216,0.254745,0.319135,0.000000
95.756355,0.224422,0.319135,0.000000
94.847916,0.161402,0.262583,0.000000
93.706291,0.272757,0.262583,0.000000
100.655434,0.237708,0.268473,0.000000
105.230820,0.267748,0.268473,0.000000
105.320938,-0.079345,0.171564,0.000000
107.693108,0.279676,0.171564,0.000000
113.165695,0.156927,0.120443,0.000000
112.917633,0.209445,0.120443,0.000000
109.219475,0.162410,0.113160,0.000000
111.151802,0.233709,0.113160,0.000000
110.093765,0.386780,0.109568,0.000000
102.928108,0.099952,0.109568,0.000000
100.973076,0.040728,0.210895,0.000000
100.988441,0.166306,0.210895,0.000000
96.615929,0.297296,0.228613,0.000000
93.129639,0.212716,0.228613,0.000000
94.145119,0.237147,0.297053,0.000000
95.570885,0.148844,0.297053,0.000000
93.950455,0.224509,0.270872,0.000000
94.388809,0.520913,0.270872,0.000000
100.058907,0.236601,0.258457,0.000000
100.312675,0.212453,0.258457,0.000000
100.776276,0.159612,0.229448,0.000000
105.432800,0.239479,0.229448,0.000000
104.368828,0.272491,0.165238,0.000000
99.035866,0.203021,0.165238,0.000000
96.678291,0.161199,0.251686,0.000000
97.173058,0.235308,0.251686,0.000000
94.465561,0.475862,0.256187,0.000000
88.475052,-0.033351,0.256187,0.000000
89.522766,0.224167,0.346853,0.000000
90.571571,0.055929,0.346853,0.000000
85.541985,0.390822,0.341223,0.000000
86.449005,0.219247,0.341223,0.000000
91.058960,0.273484,0.339017,0.000000
91.552979,0.346157,0.339017,0.000000
90.918877,0.251694,0.313383,0.000000
95.261070,0.405117,0.313383,0.000000
100.972847,0.236679,0.244293,0.000000
100.424812,0.195770,0.244293,0.000000
101.257927,0.333012,0.230528,0.000000
107.056862,0.066953,0.230528,0.000000
105.030952,0.150211,0.154140,0.000000
102.314262,0.147943,0.154140,0.000000
105.159248,0.215867,0.194494,0.000000
106.137489,0.120991,0.194494,0.000000
103.346016,0.285034,0.177773,0.000000
101.793777,-0.157053,0.177773,0.000000
103.825279,0.281935,0.201942,0.000000
102.392700,0.179524,0.201942,0.000000
98.877831,0.178421,0.219900,0.000000
102.478523,0.106407,0.219900,0.000000
104.325043,0.188631,0.183667,0.000000
100.313675,0.166086,0.183667,0.000000
101.698944,0.295602,0.227859,0.000000
106.719048,0.216430,0.227859,0.000000
103.087555,0.109336,0.157179,0.000000
97.613503,0.064748,0.157179,0.000000
97.267586,0.205795,0.257797,0.000000
96.451424,0.085810,0.257797,0.000000
91.068558,0.296658,0.277686,0.000000
89.732483,0.270668,0.277686,0.000000
94.243729,0.280176,0.308635,0.000000
93.164131,0.315778,0.308635,0.000000
92.667519,0.268289,0.306151,0.000000
99.169754,0.210990,0.306151,0.000000
103.891174,0.352606,0.210821,0.000000
104.943161,0.432234,0.210821,0.000000
108.215805,0.438449,0.167572,0.000000
114.574425,0.229334,0.167572,0.000000
114.302094,0.111728,0.069987,0.000000
110.592216,0.127548,0.069987,0.000000
112.881783,0.075934,0.117431,0.000000
111.700104,0.073753,0.117431,0.000000
104.508293,0.005435,0.136857,0.000000
103.074257,0.207146,0.136857,0.000000
102.480370,0.108241,0.192810,0.000000
97.566574,0.008058,0.192810,0.000000
93.848022,0.147965,0.267834,0.000000
94.916710,0.267128,0.267834,0.000000
96.417427,0.110801,0.264251,0.000000
94.267197,0.296407,0.264251,0.000000
95.615128,0.140528,0.292072,0.000000
101.385040,0.283780,0.292072,0.000000
101.846657,0.470935,0.196880,0.000000
100.865334,0.158646,0.196880,0.000000
104.451645,0.452570,0.202886,0.000000
104.534592,0.278857,0.202886,0.000000
99.440765,0.206905,0.197813,0.000000
97.109612,0.161566,0.197813,0.000000
97.690239,0.214947,0.251801,0.000000
94.498894,-0.012464,0.251801,0.000000
89.154045,0.154069,0.305963,0.000000
90.468765,0.230118,0.305963,0.000000
90.788177,0.529165,0.310133,0.000000
86.178207,0.129563,0.310133,0.000000
87.616646,0.241786,0.368431,0.000000
91.734932,0.460576,0.368431,0.000000
93.130722,0.265755,0.294464,0.000000
93.527061,0.391202,0.294464,0.000000
98.207245,0.191942,0.272028,0.000000
103.658966,0.371719,0.272028,0.000000
101.836311,0.098853,0.189710,0.000000
102.259888,0.314743,0.189710,0.000000
107.626091,0.125592,0.180636,0.000000
105.414291,0.103992,0.180636,0.000000
102.764900,0.240976,0.188408,0.000000
105.707863,0.087149,0.188408,0.000000
105.802689,0.193297,0.161824,0.000000
103.092865,0.494628,0.161824,0.000000
101.594002,0.076453,0.203792,0.000000
103.457100,0.440209,0.203792,0.000000
102.047913,0.510027,0.188815,0.000000
98.523277,0.111047,0.188815,0.000000
101.904129,0.159394,0.234241,0.000000
104.146057,0.282266,0.234241,0.000000
101.945198,0.156425,0.191288,0.000000
101.993263,0.385471,0.191288,0.000000
103.623795,0.150470,0.194307,0.000000
100.655807,0.344267,0.194307,0.000000
96.889763,0.336679,0.239586,0.000000
97.417183,0.093708,0.239586,0.000000
97.490715,0.217176,0.245022,0.000000
92.125046,0.181333,0.245022,0.000000
90.457497,0.183266,0.321944,0.000000
95.561218,0.174188,0.321944,0.000000
94.365173,0.152491,0.266521,0.000000
93.621658,0.477665,0.266521,0.000000
100.822144,0.158908,0.270374,0.000000
104.759392,0.589350,0.270374,0.000000
104.849014,0.867679,0.175659,0.000000
107.478065,0.405364,0.175659,0.000000
112.988129,0.216659,0.125761,0.000000
112.598289,0.185489,0.125761,0.000000
109.014412,0.201470,0.117030,0.000000
110.798454,0.043234,0.117030,0.000000
109.819824,0.034344,0.108704,0.000000
102.609558,0.392422,0.108704,0.000000
100.667015,0.322289,0.214882,0.000000
100.358612,0.377074,0.214882,0.000000
96.733810,0.224803,0.231014,0.000000
93.021912,0.267055,0.231014,0.000000
94.674370,0.338335,0.297876,0.000000
96.104683,0.196890,0.297876,0.000000
94.142433,0.347660,0.269810,0.000000
94.170395,0.489295,0.269810,0.000000
99.965118,0.156578,0.261142,0.000000
99.944481,0.644586,0.261142,0.000000
100.567711,0.211562,0.235864,0.000000
105.354782,0.292095,0.235864,0.000000
104.497482,0.306414,0.164539,0.000000
99.222633,0.215666,0.164539,0.000000
96.883354,0.160711,0.249342,0.000000
97.611298,0.258360,0.249342,0.000000
94.734512,0.476024,0.252972,0.000000
88.704094,-0.017627,0.252972,0.000000
90.034927,0.658494,0.342832,0.000000
91.118011,0.222595,0.342832,0.000000
85.712791,0.404532,0.336372,0.000000
86.946274,0.350549,0.336372,0.000000
91.362907,0.389789,0.335140,0.000000
91.743156,0.270269,0.335140,0.000000
91.093109,0.371001,0.311418,0.000000
95.419121,0.161665,0.311418,0.000000
101.156616,0.481099,0.241426,0.000000
