file,frequency_hz,gain_db,phase_deg
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,64.56405158751,0.198781881452802,-14.6406914953583
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,72.7616123390337,0.0160715227944825,-13.0875136789777
I_B=0.3_A=0.2_1-100HZ_D=40s.csv,82,-0.286367171173399,-10.9113170450597
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,1.25,0.108846969922513,-1.06638594286414
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,1.38108590901741,0.1160359885289,-1.20308867602847
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,1.52591863046916,0.0179517479884851,-1.23588660446293
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,1.68593977507848,-0.11075872827807,-1.27015463654905
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,1.8627421334503,-0.0850641771895112,-0.869413869119029
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,2.05808553011299,-0.00182640130496036,-0.558937552415614
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,2.27391434015334,0.123050108395315,-0.628285879312813
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,2.51237684279872,0.0779284539606333,-0.511685696805699
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,2.77584660458477,0.0179341060271295,-1.01728357942525
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,3.06694610494868,0.119155631953303,-0.435159887662621
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,3.38857283940837,-0.0269584265694881,-1.18569292525979
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,3.74392816014881,0.0114785130456389,-2.28564885329459
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,4.136549141084,-0.264085621157892,0.395789702830001
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,4.57034378456735,-0.206078911433938,-1.34835386950274
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,5.04962992018502,-0.103390256375287,-1.42103803749595
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,5.57917818281619,-0.109071728066031,-1.92890450462491
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,6.16425949774785,-0.00999150898375838,-2.27831844971499
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,6.81069754549303,0.0339633253814477,-3.37264405338973
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,7.52492672852792,0.396457070340529,-4.70640170050783
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,8.31405621692671,-0.153567666253607,-5.00081396747933
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,9.18594071038086,-0.135525667195731,-3.68443874072216
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,10.1492586209411,-0.0591230426883029,-1.59854859805168
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,11.2135984546842,0.116758246895106,1.02086477319085
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,12.389554252115,-0.0761201860030983,-4.99444619415618
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,13.6888310372822,-0.0773913554016252,-2.8050907885293
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,15.1243613252085,0.346052962274115,-5.61879103603846
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,16.7104338473067,0.13610175372493,-3.80601614757353
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,18.4628357760663,-0.294411245331563,-4.13779918672793
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,20.3990098646622,0.0686682378289291,-5.13862978749427
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,22.5382280655937,-0.438527021523724,-4.5746515432761
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,24.9017833564898,0.7533278871952,-7.25879698922012
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,27.5132016824418,0.0422810398461825,-2.97460606597849
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,30.3984761244596,-0.130339850607241,-8.24836466514694
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,33.5863256248747,-1.09790559903249,-11.005084169005
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,37.1084808449478,-0.409674017506303,-9.95593602537559
I_B=0.3_A=0.2_1-50HZ_D=40s.csv,41,0.293189721473498,-13.7179132274456
