ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.071902,0.217203,0.228795,18.048073
-0.061858,0.215124,0.223841,18.061163
-0.055780,0.210658,0.217918,18.063435
-0.057646,0.215279,0.222864,18.069252
-0.062273,0.217793,0.226521,18.069258
-0.060944,0.216793,0.225197,18.064062
-0.053148,0.206890,0.213608,18.130220
-0.048209,0.211752,0.217171,18.071367
-0.057493,0.225117,0.232343,17.985647
-0.068901,0.225956,0.236227,17.953104
-0.077610,0.233267,0.245839,17.945152
-0.079267,0.237552,0.250429,17.931849
-0.082335,0.231471,0.245678,18.049753
-0.078872,0.225797,0.239176,18.064236
-0.072101,0.218446,0.230037,18.060961
-0.064997,0.215978,0.225546,18.092535
-0.064526,0.214068,0.223581,18.068022
-0.061727,0.209483,0.218388,18.077055
-0.060830,0.209906,0.218542,18.128061
-0.048996,0.214455,0.219980,18.152163
-0.050511,0.207483,0.213543,18.061216
-0.058663,0.210281,0.218311,18.015209
-0.067352,0.219477,0.229578,17.966917
-0.072593,0.232863,0.243916,17.970514
-0.076881,0.229461,0.241998,17.987465
-0.082155,0.233739,0.247757,18.102154
-0.069093,0.228916,0.239116,18.076012
-0.062072,0.211374,0.220299,18.122787
-0.057480,0.209162,0.216917,18.119249
-0.056949,0.209290,0.216900,18.061272
-0.059114,0.215802,0.223752,18.071470
-0.058054,0.216049,0.223713,18.137997
-0.052067,0.211406,0.217723,18.111935
-0.055421,0.213562,0.220636,18.052248
-0.068714,0.222157,0.232541,18.015333
-0.069057,0.228022,0.238249,17.961184
-0.070692,0.223953,0.234845,17.972794
-0.083063,0.225607,0.240412,18.028929
-0.067521,0.220154,0.230275,18.081392
-0.063039,0.215819,0.224837,18.099770
-0.065846,0.213309,0.223241,18.078766
-0.058552,0.218618,0.226323,18.075258
-0.057753,0.210287,0.218074,18.079704
-0.060114,0.212270,0.220618,18.103094
-0.047263,0.208217,0.213513,18.122763
-0.042931,0.207338,0.211736,18.042906
-0.065307,0.225211,0.234488,17.990957
-0.062176,0.234192,0.242305,17.955275
-0.072584,0.234260,0.245247,17.967337
-0.088919,0.233708,0.250052,17.946720
-0.073655,0.221838,0.233746,18.070377
-0.062486,0.210402,0.219485,18.065472
-0.063620,0.212748,0.222056,18.057268
-0.062155,0.216598,0.225340,18.072281
-0.061803,0.214213,0.222950,18.070944
-0.064052,0.213998,0.223378,18.071453
-0.057990,0.207991,0.215924,18.137896
-0.051187,0.213589,0.219637,18.122311
-0.061111,0.216595,0.225051,18.025143
-0.063793,0.218911,0.228017,17.998182
-0.069248,0.222896,0.233405,17.945208
-0.085387,0.229323,0.244704,17.956656
-0.078522,0.229455,0.242519,18.014341
-0.070698,0.227574,0.238303,18.067432
-0.071462,0.215279,0.226830,18.067221
-0.062089,0.216977,0.225686,18.099020
-0.056759,0.209442,0.216996,18.067719
-0.063248,0.208040,0.217442,18.063656
-0.056953,0.211104,0.218651,18.097759
-0.050175,0.206886,0.212883,18.127537
-0.054619,0.209720,0.216716,18.072870
-0.055791,0.211408,0.218646,18.029652
-0.059667,0.218531,0.226530,17.976522
-0.074831,0.218543,0.230999,17.936905
-0.074222,0.229450,0.241155,17.949831
-0.075060,0.236199,0.247839,18.055964
-0.072667,0.219813,0.231513,18.047354
-0.064976,0.215996,0.225558,18.079641
