raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
969862.000000,97.453941,0.294278,0.234932
952408.000000,101.283325,0.294278,0.588761
936325.000000,99.675331,0.213017,0.296667
918472.000000,103.914124,0.213017,0.232922
900650.000000,106.351166,0.174574,0.152011
884660.000000,102.067978,0.174574,0.216954
869148.000000,97.603905,0.215473,0.181442
852874.000000,96.910980,0.215473,0.229427
836490.000000,96.789383,0.252707,0.233474
821949.000000,91.156166,0.252707,0.293226
807272.000000,88.251900,0.325510,0.481783
791189.000000,90.802437,0.325510,0.303228
776813.000000,87.486343,0.317272,0.464948
762816.000000,84.576500,0.317272,0.336141
746632.000000,89.619759,0.373607,0.409274
731048.000000,91.314911,0.373607,0.433689
715943.000000,91.049004,0.310006,0.235565
700311.000000,92.671875,0.310006,0.323167
683023.000000,98.820168,0.290049,0.425797
666204.000000,101.140602,0.290049,0.230862
650326.000000,99.582474,0.213430,0.393937
632323.000000,104.907730,0.213430,0.210589
614531.000000,107.240662,0.163680,0.125488
598523.000000,103.058655,0.163680,0.276328
581281.000000,103.821747,0.198566,0.347525
563300.000000,106.274734,0.198566,0.166558
546249.000000,104.862495,0.158421,0.326624
529865.000000,101.826561,0.158421,0.203006
512584.000000,102.516655,0.208221,-0.029819
495011.000000,103.739677,0.208221,0.252813
478942.000000,99.967857,0.191172,0.111169
462097.000000,100.055077,0.191172,0.157244
443739.000000,104.723236,0.213932,0.259562
427193.000000,102.238052,0.213932,0.224388
410894.000000,99.970100,0.211863,0.155819
392314.000000,105.478226,0.211863,0.246533
374555.000000,106.473282,0.164297,0.278952
359116.000000,99.960129,0.164297,0.078836
343224.000000,96.942848,0.235084,0.242138
326470.000000,97.630424,0.235084,0.293474
310992.000000,94.275497,0.250723,0.202337
296459.000000,89.531090,0.250723,0.274143
279839.000000,93.118874,0.328061,0.376767
263455.000000,94.902206,0.328061,0.267117
248370.000000,92.449890,0.281327,0.246460
231339.000000,97.031219,0.281327,0.534213
213327.000000,103.008698,0.238976,0.190339
195748.000000,105.550064,0.238976,0.722901
178076.000000,107.390869,0.167131,0.365434
158629.000000,113.750206,0.167131,0.198305
139395.000000,116.740517,0.075791,0.221003
121997.000000,112.592415,0.075791,0.050092
103617.000000,112.495819,0.105952,0.132356
84404.000000,114.425598,0.105952,0.091081
67709.000000,107.761047,0.087794,0.237478
50827.000000,103.943985,0.087794,0.021150
33162.000000,103.743240,0.184867,0.159072
16713.000000,100.047119,0.184867,-0.164339
1212.000000,95.004654,0.234999,0.177371
2082030.000000,94.638718,0.234999,0.331552
2065023.000000,96.828819,0.273221,0.291692
2049049.000000,95.365532,0.273221,0.227847
2033187.000000,94.472198,0.277893,0.341283
2015287.000000,100.331810,0.277893,0.249355
1997785.000000,103.053513,0.210892,0.512060
1981610.000000,100.867599,0.210892,0.236237
1963858.000000,104.042946,0.210838,0.391787
1946044.000000,106.123428,0.210838,0.350246
1930043.000000,101.735878,0.168342,0.156027
1914338.000000,97.798019,0.168342,0.098787
1897540.000000,98.507744,0.247716,0.228485
1881578.000000,96.398949,0.247716,0.386322
1867127.000000,90.561073,0.270577,0.229815
1851522.000000,90.608025,0.270577,0.248829
1835445.000000,92.210350,0.312454,0.368552
1821347.000000,87.526413,0.312454,0.346517
1806406.000000,87.384254,0.356289,0.265578
1790010.000000,91.945847,0.356289,0.517641
1773989.000000,94.057007,0.299668,0.357720
1758458.000000,94.081863,0.299668,0.216386
1741556.000000,98.248016,0.280233,0.342054
1723473.000000,104.472527,0.280233,0.334351
1706968.000000,103.401970,0.176951,0.095827
1690478.000000,102.474472,0.176951,0.220653
1671940.000000,107.740700,0.190508,0.116853
1654780.000000,106.589310,0.190508,0.143657
1638375.000000,103.365456,0.166662,0.253418
1620395.000000,105.826485,0.166662,0.140920
1602656.000000,106.513977,0.161285,0.154019
1585708.000000,104.492325,0.161285,0.186472
1568976.000000,102.403709,0.184944,0.180193
1551268.000000,103.994316,0.184944,-0.061311
1534177.000000,103.050179,0.180663,-0.045014
1518178.000000,99.231316,0.180663,-0.149056
1500446.000000,102.165054,0.231777,0.319121
1482473.000000,104.807587,0.231777,0.281587
1466036.000000,101.939346,0.180970,0.208863
1448891.000000,102.214806,0.180970,0.191677
1431082.000000,104.344101,0.196580,0.202536
1414713.000000,101.312920,0.196580,0.269631
1398915.000000,97.609055,0.221100,0.218115
1382192.000000,98.091347,0.221100,0.484351
1365593.000000,98.098679,0.240615,0.196282
1350783.000000,92.690231,0.240615,-0.014183
1335671.000000,90.432121,0.309681,0.238653
1318443.000000,95.596992,0.309681,0.226444
1302731.000000,94.572388,0.264023,0.163392
1287291.000000,93.416382,0.264023,0.287042
1269346.000000,100.418625,0.281668,0.312817
1251478.000000,104.721626,0.281668,0.415954
1234409.000000,104.977409,0.173323,0.304719
1216553.000000,107.332001,0.173323,0.116546
1197197.000000,113.150963,0.140951,0.172225
1179018.000000,112.960411,0.140951,0.192966
1162012.000000,108.867332,0.105800,0.106163
1143346.000000,110.914963,0.105800,0.105393
1125233.000000,110.139389,0.108169,0.027331
1109295.000000,102.890617,0.108169,0.030521
1092540.000000,100.652473,0.205341,0.104909
1075472.000000,100.177475,0.205341,-0.139643
1059611.000000,96.384529,0.224334,0.123847
1044339.000000,92.442734,0.224334,0.353237
1028005.000000,93.543663,0.301799,0.294496
1011372.000000,95.465286,0.301799,0.215114
995828.000000,93.692085,0.272423,0.391652
979955.000000,93.852554,0.272423,0.378053
962110.000000,100.082718,0.273124,0.266689
945423.000000,100.623260,0.273124,0.391863
