Id_A,Iq_A,diff_rad_s,pll_rad_s
0.026353,0.283947,0.000000,-0.007163
0.026353,0.283947,0.000000,-0.089026
0.026353,0.283947,-0.720024,-0.104015
0.026353,0.283947,-0.300407,-0.158876
0.026353,0.283947,0.000000,-0.159084
0.026353,0.283947,0.000000,-0.149339
0.026353,0.283947,0.000000,-0.168762
0.026353,0.283947,-0.660419,-0.221126
0.026353,0.283947,-0.300407,-0.269785
0.026353,0.283947,0.000000,-0.289991
0.026353,0.283947,-0.059605,-0.264708
0.026353,0.283947,0.000000,-0.270846
0.026353,0.283947,0.000000,-0.267609
0.026353,0.283947,0.000000,-0.250474
0.026353,0.283947,0.000000,-0.282423
0.026353,0.283947,-0.720024,-0.318959
0.026353,0.283947,-0.836849,-0.329221
0.026353,0.283947,0.000000,-0.334511
0.026353,0.283947,0.000000,-0.366703
0.026353,0.283947,-1.077652,-0.368795
0.026353,0.283947,0.000000,-0.373112
0.026353,0.283947,-0.119209,-0.345267
0.026353,0.283947,-0.300407,-0.311626
0.026353,0.283947,-0.298023,-0.316964
0.026353,0.283947,0.000000,-0.285072
0.026353,0.283947,-0.119209,-0.246786
0.026353,0.283947,-0.479221,-0.213025
0.026353,0.283947,-0.479221,-0.210300
0.026353,0.283947,-0.658035,-0.203482
0.026353,0.283947,-0.360012,-0.179315
0.026353,0.283947,-0.061989,-0.154557
0.026353,0.283947,-0.660419,-0.212093
0.026353,0.283947,-0.240803,-0.229216
0.026353,0.283947,-0.119209,-0.236419
0.026353,0.283947,-0.660419,-0.306311
0.026353,0.283947,0.000000,-0.314402
0.026353,0.283947,-0.898838,-0.380190
0.026353,0.283947,-0.658035,-0.424796
0.026353,0.283947,-1.137257,-0.476640
0.026353,0.283947,-0.658035,-0.535358
0.026353,0.283947,-0.958443,-0.540745
0.026353,0.283947,-0.178814,-0.499054
0.026353,0.283947,-0.779629,-0.562683
0.026353,0.283947,-1.378059,-0.545721
0.026353,0.283947,-0.658035,-0.549446
0.026353,0.283947,-0.119209,-0.459288
0.026353,0.283947,-0.598431,-0.449163
0.026353,0.283947,-0.360012,-0.413483
0.026353,0.283947,0.000000,-0.394871
0.026353,0.283947,-0.238419,-0.372754
0.026353,0.283947,-0.178814,-0.331016
0.026353,0.283947,0.000000,-0.279606
