dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.285564,0.032624,84.248787,91.419281
-0.028838,0.322061,99.409821,90.037086
0.035200,0.362923,100.786690,94.766937
-0.258844,0.283679,88.083748,93.676338
-0.302813,0.531939,99.529030,93.162148
0.130923,0.328244,107.978584,99.858856
-0.065385,0.256419,103.424789,104.259277
-0.001044,0.503948,103.783607,105.511986
0.158956,0.429896,114.508873,109.203117
-0.072607,0.174780,118.703842,115.824951
0.164590,0.113688,108.157997,115.480080
0.097123,0.023891,107.678177,111.375671
-0.308514,0.183239,118.044617,113.950157
-0.114175,0.157225,102.165642,112.282379
0.027615,-0.108732,99.469131,105.015091
-0.034928,0.212718,106.659531,103.932915
0.048437,0.081789,99.648834,102.860992
-0.135201,-0.045285,92.098793,97.781387
-0.121031,0.224085,96.111298,94.119843
-0.101740,0.327279,101.814270,95.935005
0.125361,0.218022,96.225739,97.112549
-0.090169,0.293424,90.246201,94.774124
-0.131688,0.466113,106.067657,97.065193
0.171754,0.107161,104.570389,102.452675
-0.102129,0.238099,97.131729,101.970047
0.003132,0.264605,105.638504,101.869720
0.031780,0.107589,110.311508,105.555847
0.078590,0.253958,93.898773,104.482788
-0.222890,0.074173,93.479156,99.431847
0.083193,0.107111,100.431442,97.656586
-0.100955,0.257465,96.950531,98.727585
0.133398,0.131830,85.802078,94.208466
0.032959,0.266225,91.323853,89.785133
-0.088947,0.385065,97.007751,92.202324
0.080004,0.362481,83.770752,90.514748
0.060924,0.149756,87.852478,86.458481
-0.293095,0.184769,99.649429,89.496101
-0.118712,0.396968,96.044540,93.315704
0.390929,0.308757,95.930099,93.772690
-0.096762,0.251484,98.390579,95.511505
0.000856,0.269456,109.243393,101.569344
0.110152,0.284828,99.706650,104.506004
-0.035334,0.006505,95.577240,101.875031
-0.096553,-0.123299,111.455917,104.463554
0.039474,0.129752,105.581284,108.202942
-0.078370,0.098338,95.396042,104.548256
0.393641,0.298342,106.840134,103.962059
-0.045442,0.121307,107.860565,106.698105
-0.180555,0.150272,113.134384,105.809143
-0.070376,0.206898,97.799301,103.305443
-0.046262,0.387107,107.736588,103.016235
-0.084525,0.257743,102.825165,104.375847
0.086851,0.169113,93.774796,101.041405
0.058846,0.111128,105.161667,99.522354
-0.036943,0.294503,109.176636,103.956039
-0.084510,0.316729,96.235275,103.184647
0.162738,0.185759,102.939606,101.422379
-0.321346,0.360622,107.984543,103.353355
0.079801,0.221667,98.810196,103.376221
0.110457,0.122090,94.556808,99.096756
-0.082775,0.213889,101.919174,97.130058
-0.061105,0.011770,100.669861,98.366028
0.053803,0.124496,88.987350,96.036919
0.034377,0.201113,88.863373,90.318275
0.077179,0.253119,103.840828,92.465935
0.034526,0.204272,94.733238,95.928482
-0.060971,0.290482,90.060234,92.900101
-0.115900,0.460931,106.778145,95.714371
0.013319,0.265507,105.819702,103.176628
-0.056295,0.263512,101.804733,105.096184
0.055222,0.155104,109.715462,105.860069
-0.143685,0.002723,121.459961,110.262886
-0.089831,0.261554,110.316277,114.117325
-0.030930,0.184980,101.923943,111.128906
-0.064962,0.148049,109.176636,109.684372
0.264794,-0.023566,111.393929,112.578842
0.112474,0.083871,95.453262,107.534859
0.067869,-0.262620,98.390579,101.540939
-0.047412,0.188436,107.135773,101.526314
-0.051810,0.085554,95.334053,99.696075
-0.031025,0.036005,91.319084,94.732574
0.034999,0.244470,96.831322,92.819893
-0.175883,0.216416,100.731850,95.776329
0.233513,0.127054,91.443062,95.860222
-0.302124,0.490693,93.836784,93.308815
0.031065,0.327814,108.461380,97.488304
0.009526,0.139978,101.685524,101.894775
-0.031126,0.277132,95.996857,99.735771
0.125547,0.280119,114.274025,104.089272
-0.121110,0.194763,104.141235,106.730682
-0.142837,0.222763,92.878342,102.733864
0.001834,0.207161,97.494125,98.125916
0.071550,0.194422,100.188255,97.517868
