raw21,omega_pll,Iq_ref,dbg_iq_a
612256.000000,300.750763,0.113463,0.064643
561457.000000,298.798981,0.316464,0.172622
511460.000000,297.690002,0.316464,0.472710
461252.000000,296.655151,0.578903,0.324705
410089.000000,297.116547,0.578903,0.436897
358913.000000,296.872864,0.556398,0.265447
311161.000000,297.816467,0.556398,0.455297
263912.000000,298.505493,0.453586,0.494009
214384.000000,299.576416,0.453586,0.480361
160719.000000,299.920166,0.311186,0.607980
105974.000000,299.701172,0.311186,0.347090
53080.000000,299.830902,0.278825,0.345418
3401.000000,299.654266,0.278825,0.344497
2051140.000000,299.647827,0.289722,0.279682
1999993.000000,300.810669,0.289722,0.372753
1948329.000000,301.115662,0.173884,0.199060
1899625.000000,301.622070,0.173884,0.161393
1853115.000000,301.541107,0.080518,0.118631
1807790.000000,301.233490,0.080518,-0.008356
1760124.000000,300.835358,0.077396,0.032324
1709239.000000,301.527893,0.077396,0.390042
1657716.000000,299.867462,0.194723,-0.055694
1606503.000000,298.702759,0.194723,0.141758
1555727.000000,297.673035,0.464678,0.227929
1505476.000000,297.625305,0.464678,0.331720
1454068.000000,296.884094,0.539400,0.444992
1404327.000000,296.741516,0.539400,0.446705
1355979.000000,297.180786,0.535610,0.404860
1308167.000000,298.407379,0.535610,0.451960
1257968.000000,299.246552,0.396496,0.489263
1204807.000000,299.794708,0.396496,0.514080
1150470.000000,300.007965,0.251908,0.326645
1098869.000000,300.054871,0.251908,0.295582
1049645.000000,299.990387,0.245234,-0.095882
1000479.000000,300.687012,0.245234,0.220926
950220.000000,299.960114,0.260145,0.240370
898512.000000,300.054810,0.260145,0.479414
850369.000000,299.873413,0.257170,0.270961
804555.000000,300.311340,0.257170,0.295462
759718.000000,299.776398,0.229857,0.137702
712960.000000,300.506470,0.229857,0.195186
663202.000000,301.030487,0.145923,-0.209977
612071.000000,300.303589,0.145923,0.237843
561333.000000,298.295074,0.352586,0.219867
511223.000000,297.710266,0.352586,0.307899
460969.000000,296.837860,0.581354,0.336167
409819.000000,297.309601,0.581354,0.451961
358707.000000,296.937256,0.561419,0.388874
311103.000000,297.410187,0.561419,0.691878
263891.000000,298.089081,0.500813,0.514083
214416.000000,299.200348,0.500813,0.528318
160781.000000,299.703461,0.359068,0.372921
105850.000000,300.107605,0.359068,0.378370
52792.000000,300.700653,0.214070,0.396812
3045.000000,300.595520,0.214070,0.241699
2050751.000000,300.386597,0.223002,0.251242
1999449.000000,301.700623,0.223002,0.253269
1947880.000000,301.263367,0.131007,0.217251
1899386.000000,300.929596,0.131007,0.191230
1852926.000000,300.825531,0.146925,0.241796
1807577.000000,300.795319,0.146925,0.164036
