raw21,omega_pll_rad_s,Iq_ref,dbg_iq_a
107082.000000,12.260065,0.202225,0.197582
104808.000000,12.228965,0.198228,0.186807
102488.000000,12.203766,0.198228,0.210186
100168.000000,12.196978,0.199082,0.208621
97762.000000,12.217398,0.199082,0.149109
95352.000000,12.274719,0.199414,0.247912
92942.000000,12.352043,0.199414,0.217766
90557.000000,12.346660,0.196009,0.306889
88125.000000,12.542188,0.196009,0.196278
85662.000000,13.029213,0.192948,0.188752
83241.000000,13.382157,0.192948,0.370914
80803.000000,13.776179,0.186461,0.432772
78352.000000,14.260712,0.186461,0.222572
75871.000000,14.790820,0.176232,0.432957
73337.000000,15.417217,0.176232,0.363837
70735.000000,16.158295,0.164214,0.203470
68098.000000,16.738750,0.164214,0.270868
65368.000000,17.293991,0.150828,0.171249
62534.000000,17.764029,0.150828,0.247804
59604.000000,18.090805,0.142292,0.281077
56406.000000,18.687912,0.142292,0.171179
53290.000000,18.531515,0.134279,0.049917
50056.000000,18.557056,0.134279,0.271831
46842.000000,18.455877,0.135841,0.094610
43593.000000,18.416698,0.135841,0.246926
40377.000000,18.519695,0.136099,0.060316
37229.000000,18.484648,0.136099,0.102165
34172.000000,18.282358,0.136578,-0.108911
31149.000000,18.085083,0.136578,0.117782
28136.000000,17.977430,0.140539,0.262211
25225.000000,17.783754,0.140539,0.132883
22371.000000,17.420034,0.144042,0.147827
19626.000000,16.948702,0.144042,0.142578
16918.000000,16.760172,0.151695,0.189873
14218.000000,16.844519,0.151695,0.104982
11558.000000,16.884314,0.151499,0.280682
8903.000000,16.975084,0.151499,0.188717
6260.000000,16.941488,0.150902,0.189340
3551.000000,17.109781,0.150902,0.025916
863.000000,17.070274,0.149185,0.158244
2095330.000000,16.937599,0.149185,0.294103
2092645.000000,16.632591,0.152010,0.100311
2089818.000000,16.825443,0.152010,0.126840
2087086.000000,16.547977,0.153337,0.289663
2084383.000000,16.171017,0.153337,0.141983
2081652.000000,16.084648,0.157864,0.173851
2078935.000000,15.973248,0.157864,0.159664
2076263.000000,15.765185,0.160976,0.167652
2073617.000000,15.631069,0.160976,0.140635
2071018.000000,15.498446,0.164060,0.185056
2068480.000000,15.258764,0.164060,0.185324
2066015.000000,14.995933,0.167905,0.191157
2063586.000000,14.745644,0.167905,0.205753
2061241.000000,14.357467,0.174300,0.212602
2058914.000000,14.117718,0.174300,0.186880
2056658.000000,13.872557,0.179801,0.217554
2054395.000000,13.589633,0.179801,0.235652
2052180.000000,13.292782,0.185146,0.247567
2049990.000000,13.180063,0.185146,0.200310
2047627.000000,13.765581,0.187325,0.142588
2045407.000000,13.814182,0.187325,0.149088
2043185.000000,13.922165,0.182308,0.188268
2040896.000000,14.204032,0.182308,0.296951
2038588.000000,14.411331,0.178130,0.278619
2036171.000000,14.838754,0.178130,0.283435
2033741.000000,15.066371,0.171131,0.077133
2031289.000000,15.100672,0.171131,0.110746
2028715.000000,15.237697,0.169302,0.131693
2026218.000000,14.872143,0.169302,-0.096102
2023717.000000,14.483811,0.172919,0.059676
2021196.000000,14.102767,0.172919,0.078465
2018681.000000,13.837742,0.179446,0.133595
2016200.000000,13.652897,0.179446,0.116855
2013646.000000,13.839955,0.183564,-0.136310
2011201.000000,13.777302,0.183564,0.125250
2008803.000000,13.671260,0.182768,0.170950
2006381.000000,13.723591,0.182768,0.219863
2003944.000000,13.960350,0.183706,0.223450
2001443.000000,14.299337,0.183706,0.178328
1999139.000000,14.022598,0.177562,0.397215
1996640.000000,14.484888,0.177562,0.345188
1994217.000000,14.547663,0.176297,0.461814
1991822.000000,14.475378,0.176297,0.147411
1989364.000000,14.699226,0.173958,0.185062
1986776.000000,15.150822,0.173958,0.176819
1984185.000000,15.409879,0.168227,0.449000
1981498.000000,15.898217,0.168227,0.484719
1978695.000000,16.385559,0.157427,0.166765
1975861.000000,16.764454,0.157427,0.311278
1972884.000000,17.333000,0.151334,0.212830
1969989.000000,17.441010,0.151334,0.267315
1967057.000000,17.428545,0.146296,0.438299
1964127.000000,17.259369,0.146296,0.344189
1961178.000000,17.194292,0.147965,0.218534
1958228.000000,16.998646,0.147965,0.139550
1955412.000000,16.470306,0.152672,0.232119
1952637.000000,15.796523,0.152672,0.216860
1949726.000000,15.769808,0.159824,0.215363
1947034.000000,15.289364,0.159824,0.156000
1944390.000000,15.052524,0.168658,0.282792
1941833.000000,14.901403,0.168658,0.195395
1939273.000000,15.022634,0.170692,0.158189
1936775.000000,15.185141,0.170692,0.110473
1934326.000000,15.322187,0.168364,0.101086
1931918.000000,15.423582,0.168364,0.107544
1929480.000000,15.657290,0.164802,0.086055
1927105.000000,15.610834,0.164802,0.121884
1924751.000000,15.353620,0.164632,0.122518
1922384.000000,15.248114,0.164632,0.086362
1920018.000000,15.049541,0.168369,0.064054
1917654.000000,14.815477,0.168369,0.105849
1915284.000000,14.713165,0.172637,0.153826
1912898.000000,14.650509,0.172637,0.150298
1910545.000000,14.525343,0.173340,0.179688
1908044.000000,14.895584,0.173340,0.203009
1905749.000000,14.421906,0.173977,0.160313
1903437.000000,14.048324,0.173977,0.184195
1901118.000000,13.865399,0.180235,0.203654
1898816.000000,13.639818,0.180235,0.173940
1896599.000000,13.313906,0.185893,0.133560
1894361.000000,13.139749,0.185893,0.174920
1892223.000000,12.735113,0.190177,0.170601
1890080.000000,12.601549,0.190177,0.209095
1888004.000000,12.466126,0.194450,0.204146
1885951.000000,12.435076,0.194450,0.287233
1883968.000000,12.421347,0.196104,0.188507
1881979.000000,12.543106,0.196104,0.142421
1880028.000000,12.743426,0.193998,0.248171
1878082.000000,12.855004,0.193998,0.232699
1876176.000000,13.008746,0.192116,0.200002
1874270.000000,13.226489,0.192116,0.206450
1872335.000000,13.402206,0.187837,0.103915
1870312.000000,13.833965,0.187837,0.445919
1868278.000000,14.166391,0.181622,0.181653
1866238.000000,14.283496,0.181622,0.080202
1864182.000000,14.273937,0.176780,0.158387
1862098.000000,14.191732,0.176780,0.341370
1859960.000000,14.111401,0.179299,0.203172
1857773.000000,14.011152,0.179299,0.231626
1855567.000000,13.778107,0.180676,0.180039
1853331.000000,13.729095,0.180676,-0.094636
1851114.000000,13.446799,0.183670,-0.012363
1848899.000000,13.346515,0.183670,0.097302
1846714.000000,13.254397,0.187687,0.141693
1844579.000000,13.135677,0.187687,0.233763
1842501.000000,12.991637,0.190096,-0.021798
1840479.000000,12.847165,0.190096,0.238874
1838441.000000,12.886923,0.192689,-0.197067
1836489.000000,12.787592,0.192689,-0.019723
1834550.000000,12.835447,0.191870,0.315573
1832598.000000,13.055998,0.191870,0.177455
1830694.000000,13.051829,0.189717,0.142868
1828732.000000,13.310341,0.189717,0.176672
1826819.000000,13.363632,0.187893,0.385238
1824856.000000,13.575654,0.187893,-0.030756
1822826.000000,13.968940,0.182694,0.234601
1820758.000000,14.483405,0.182694,0.234908
1818594.000000,15.129375,0.173957,0.297773
