raw21,omega_pll,Iq_ref,Iq_meas
1450050.000000,19.149290,0.135126,0.141729
1446816.000000,19.672703,0.123425,0.121800
1443540.000000,20.051664,0.123425,0.201808
1440241.000000,20.284697,0.117252,0.041559
1436984.000000,20.223436,0.117252,0.145840
1433747.000000,20.037725,0.119672,0.030468
1430560.000000,19.705326,0.119672,0.306029
1427451.000000,19.198351,0.128024,0.064268
1424315.000000,18.895563,0.128024,0.141379
1421341.000000,18.232355,0.137651,0.122060
1418328.000000,17.946474,0.137651,0.131546
1415444.000000,17.413559,0.145815,0.067185
1412635.000000,16.868040,0.145815,0.167158
1409769.000000,16.746666,0.152466,-0.147234
1407006.000000,16.409960,0.152466,-0.017509
1404100.000000,16.731651,0.152599,0.156514
1401273.000000,16.744356,0.152599,0.192380
1398467.000000,16.708374,0.152815,-0.204300
1395648.000000,16.735756,0.152815,0.216174
1392754.000000,17.028908,0.149589,0.329247
1389956.000000,16.906925,0.149589,-0.011153
1387262.000000,16.504297,0.154820,0.107349
1384557.000000,16.255413,0.154820,0.360108
1381949.000000,15.821480,0.161640,0.144352
1379380.000000,15.435263,0.161640,-0.059170
1376920.000000,14.887321,0.170983,0.202943
1374545.000000,14.312553,0.170983,0.146944
1372299.000000,13.570145,0.184169,0.094488
1370078.000000,13.043903,0.184169,0.376322
1367976.000000,12.428806,0.195608,0.262129
1366007.000000,11.707130,0.195608,-0.017976
1364079.000000,11.190464,0.208030,0.256016
1362260.000000,10.617702,0.208030,0.171250
1360479.000000,10.221464,0.217768,0.203364
1358764.000000,9.857183,0.217768,0.250009
1357093.000000,9.576485,0.224272,0.170922
1355484.000000,9.279306,0.224272,0.198619
1353899.000000,9.082281,0.229273,0.319288
1352380.000000,8.825016,0.229273,0.148572
1350858.000000,8.741282,0.232745,0.256862
1349313.000000,8.822927,0.232745,0.281898
1347715.000000,9.082460,0.229393,0.334300
1346093.000000,9.361653,0.229393,0.199148
1344457.000000,9.611025,0.224161,0.360706
1342720.000000,10.079891,0.224161,0.277071
1340986.000000,10.386707,0.216450,0.231431
1339172.000000,10.800579,0.216450,0.257391
1337299.000000,11.233744,0.208018,0.307685
1335445.000000,11.405248,0.208018,0.225046
1333534.000000,11.629944,0.204089,0.251796
1331593.000000,11.827227,0.204089,0.200364
1329644.000000,11.948262,0.200937,0.188066
1327697.000000,11.979352,0.200937,0.203331
1325747.000000,11.951949,0.200930,0.271569
1323699.000000,12.194861,0.200930,0.222989
1321754.000000,12.023190,0.200248,0.216215
1319802.000000,11.891066,0.200248,0.162777
1317823.000000,11.881639,0.201694,0.220400
1315862.000000,11.829641,0.201694,0.218519
1313926.000000,11.708455,0.203459,0.225099
1311945.000000,11.748101,0.203459,0.246900
1309912.000000,11.944022,0.201134,0.223834
1307861.000000,12.138867,0.201134,0.233735
1305742.000000,12.488076,0.195719,0.256555
1303594.000000,12.800186,0.195719,0.269774
1301396.000000,13.119739,0.189421,0.152198
1299038.000000,13.804598,0.189421,0.346184
1296592.000000,14.518560,0.175437,0.301753
1294037.000000,15.265842,0.175437,0.206570
1291282.000000,16.307602,0.157534,0.181414
1288378.000000,17.378418,0.157534,0.207407
1285312.000000,18.470739,0.135868,0.105134
1282100.000000,19.510506,0.135868,0.107094
1278680.000000,20.731880,0.113199,0.239484
1275186.000000,21.615240,0.113199,-0.038327
1271713.000000,21.920317,0.101246,-0.064393
1268272.000000,21.852322,0.101246,-0.062797
1264725.000000,21.974461,0.100634,0.146692
1261323.000000,21.496571,0.100634,0.047165
1257957.000000,20.975798,0.110561,0.015373
1254650.000000,20.407883,0.110561,0.029712
1251310.000000,20.131735,0.118951,0.144998
1248121.000000,19.486721,0.118951,0.047518
1244966.000000,18.977648,0.130452,-0.221535
1241781.000000,18.814251,0.130452,-0.141383
1238696.000000,18.428562,0.135908,0.128496
1235647.000000,18.115877,0.135908,0.037485
1232546.000000,18.131718,0.138845,0.178786
1229464.000000,18.115108,0.138845,0.256042
1226390.000000,18.118761,0.138944,-0.022202
1223367.000000,18.025967,0.138944,0.151144
1220347.000000,17.963917,0.140462,-0.107657
1217418.000000,17.661995,0.140462,-0.016763
1214492.000000,17.464544,0.145432,0.033092
1211467.000000,17.674355,0.145432,0.001222
1208594.000000,17.381025,0.146243,-0.000844
1205699.000000,17.274687,0.146243,0.034869
1203006.000000,16.593285,0.154104,-0.067296
1200345.000000,16.045500,0.154104,-0.092328
1197783.000000,15.426371,0.165769,0.163562
1195293.000000,14.857458,0.165769,0.093632
1192904.000000,14.242384,0.177617,0.128271
1190601.000000,13.646878,0.177617,0.167961
1188370.000000,13.112055,0.188939,0.217659
1186179.000000,12.728248,0.188939,0.256742
1184008.000000,12.490323,0.195181,0.298087
1181879.000000,12.292570,0.195181,0.216374
1179814.000000,12.047434,0.199640,0.217248
1177808.000000,11.796070,0.199640,0.206954
1175807.000000,11.644850,0.203699,0.216170
1173707.000000,11.877090,0.203699,0.265035
1171632.000000,12.035543,0.199822,0.229441
1169555.000000,12.176832,0.199822,0.282831
