raw21,omega_pll,Iq_ref,dbg_iq_a
1366277.000000,19.050339,0.176633,0.381453
1363384.000000,18.421097,0.185763,0.186739
1360585.000000,17.903835,0.185763,0.127742
1357907.000000,17.316681,0.197365,0.304093
1355286.000000,16.809031,0.197365,0.152874
1352712.000000,16.636053,0.205874,0.168145
1350164.000000,16.603550,0.205874,0.148322
1347610.000000,16.692635,0.208195,0.127486
1345054.000000,16.810970,0.208195,0.175933
1342440.000000,17.007072,0.205054,0.139658
1339743.000000,17.345854,0.205054,0.084484
1336985.000000,17.611969,0.199516,0.137652
1334106.000000,17.827150,0.199516,0.076679
1331187.000000,17.676756,0.195107,0.169089
1328263.000000,17.485788,0.195107,0.200833
1325362.000000,17.103149,0.200164,0.169220
1322480.000000,16.783003,0.200164,0.182054
1319638.000000,16.650963,0.206132,0.182053
1316850.000000,16.586708,0.206132,0.171259
1314029.000000,16.838131,0.205870,0.191161
1311278.000000,16.949276,0.205870,0.231425
1308502.000000,17.236198,0.203235,0.213554
1305755.000000,17.553484,0.203235,0.227330
1302920.000000,18.024998,0.196874,0.197394
1300067.000000,18.399384,0.196874,0.293630
1297089.000000,18.986755,0.187611,0.237542
1293971.000000,19.759153,0.187611,0.205985
1290629.000000,20.706057,0.173659,0.253856
1287102.000000,21.740246,0.173659,0.335969
1283389.000000,22.695578,0.151895,0.294687
1279530.000000,23.209614,0.151895,0.219962
1275467.000000,23.798841,0.137048,0.128680
1271296.000000,24.213585,0.137048,0.153548
1267188.000000,23.794588,0.130870,0.124388
1263065.000000,23.398119,0.130870,0.380415
1259154.000000,22.485376,0.142989,0.111707
1255279.000000,21.763699,0.142989,0.207165
1251494.000000,21.319031,0.158874,-0.070052
1247645.000000,21.670830,0.158874,0.282266
1243939.000000,21.643715,0.157812,0.065965
1240201.000000,21.925343,0.157812,0.402941
1236526.000000,21.991486,0.154588,0.119935
1232834.000000,21.867165,0.154588,0.120399
1229043.000000,21.663021,0.157926,0.125053
1225363.000000,21.195379,0.157926,0.081721
1221635.000000,20.684813,0.163990,0.079353
1217788.000000,20.683739,0.163990,0.207255
1213964.000000,20.572481,0.167123,0.202110
1210052.000000,20.697641,0.167123,0.322146
1206209.000000,20.243027,0.170068,0.110951
1202469.000000,19.679403,0.170068,0.055791
1198769.000000,19.053055,0.179345,0.246648
1195174.000000,18.433924,0.179345,0.326582
1191675.000000,17.972731,0.192162,0.299395
1188280.000000,17.786472,0.192162,0.156945
1184942.000000,17.694901,0.197023,0.217865
1181700.000000,17.681362,0.197023,0.273505
1178473.000000,17.931147,0.195224,0.206671
1175320.000000,18.117708,0.195224,0.256409
1172173.000000,18.315182,0.191623,0.232199
1168942.000000,18.672964,0.191623,0.234345
1165755.000000,18.916618,0.186035,0.216295
1162482.000000,19.049358,0.186035,0.231672
1159160.000000,18.914448,0.182862,0.216774
1155667.000000,18.923996,0.182862,0.214227
1152063.000000,19.072853,0.186386,0.262761
1148456.000000,18.744204,0.186386,0.214687
1144791.000000,18.643461,0.184391,0.211723
1141233.000000,18.566212,0.184391,0.170285
1137730.000000,18.649082,0.188272,-0.003067
1134291.000000,18.706795,0.188272,0.112402
1130907.000000,19.013313,0.186253,0.079030
1127630.000000,19.100597,0.186253,0.286535
1124377.000000,19.259760,0.182272,0.033639
1121167.000000,19.256506,0.182272,0.184899
1117987.000000,19.471426,0.180839,0.184999
1114747.000000,19.802814,0.180839,0.234584
1111450.000000,20.345675,0.175038,0.151438
1108011.000000,21.206051,0.175038,0.108699
1104476.000000,21.973244,0.158449,0.128367
1100808.000000,22.555103,0.158449,0.135458
1097057.000000,22.854139,0.147223,0.106468
1093257.000000,22.720530,0.147223,-0.084281
1089319.000000,22.863789,0.146956,-0.011266
1085523.000000,22.348572,0.146956,0.184328
1081798.000000,21.834349,0.152193,0.152456
1077977.000000,22.084162,0.152193,0.327036
1074414.000000,21.870813,0.153954,0.098058
1070910.000000,21.743563,0.153954,0.190637
1067468.000000,21.638527,0.157401,0.285012
1064125.000000,21.640459,0.157401,0.198741
1060770.000000,21.660919,0.154999,0.004733
1057457.000000,21.453787,0.154999,0.155714
1054201.000000,20.959541,0.161431,0.171316
1050925.000000,20.733778,0.161431,0.226778
1047651.000000,20.416111,0.166920,0.133229
1044249.000000,20.524488,0.166920,0.303414
1040974.000000,20.346924,0.169898,0.260385
1037677.000000,20.270641,0.169898,0.133354
1034265.000000,20.471329,0.168499,0.127405
1031011.000000,20.117155,0.168499,0.092529
1027571.000000,20.264393,0.168574,0.101821
1024355.000000,19.565460,0.168574,0.093409
1021209.000000,18.821140,0.181230,0.121523
1018118.000000,18.320532,0.181230,0.139021
1015147.000000,17.753448,0.193408,0.195582
1012093.000000,17.899389,0.193408,0.170039
1009242.000000,17.535700,0.196628,0.158376
1006475.000000,17.224983,0.196628,0.185551
